Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
39.0,190.0,98.0,45.0,Rectangle,0.0,1.0,0.0
27.0,182.0,80.0,42.0,Inverted Triangle,1.0,0.0,0.0
32.0,186.0,75.0,45.0,Rectangle,0.0,1.0,0.0
21.5,180.0,69.0,42.0,Inverted Triangle,1.0,0.0,0.0
56.0,165.0,98.0,43.0,Triangle,0.0,0.0,1.0
41.0,175.0,78.0,41.0,Triangle,0.0,0.0,1.0
23.0,180.0,85.0,43.0,Inverted Triangle,1.0,0.0,0.0
23.2,170.0,80.0,41.0,Triangle,0.0,0.0,1.0
26.2,178.0,78.0,42.0,Inverted Triangle,1.0,0.0,0.0
35.0,173.0,69.0,40.0,Rectangle,0.0,1.0,0.0
59.0,172.0,80.0,41.0,Triangle,0.0,0.0,1.0
20.2,175.0,56.0,41.5,Inverted Triangle,1.0,0.0,0.0
48.0,183.0,72.0,43.0,Rectangle,0.0,1.0,0.0
23.4,180.0,67.0,42.0,Inverted Triangle,1.0,0.0,0.0
21.0,181.0,89.0,42.0,Rectangle,0.0,1.0,0.0
20.0,187.0,77.0,43.0,Rectangle,0.0,1.0,0.0
39.5,174.0,94.0,42.0,Inverted Triangle,1.0,0.0,0.0
22.4,173.0,60.0,42.0,Rectangle,0.0,1.0,0.0
39.0,169.0,62.0,41.0,Inverted Triangle,1.0,0.0,0.0
39.0,198.0,90.0,45.0,Triangle,0.0,0.0,1.0
58.1,166.0,79.0,42.0,Triangle,0.0,0.0,1.0
30.8,175.0,68.0,42.0,Triangle,0.0,0.0,1.0
46.0,186.0,80.0,45.0,Rectangle,0.0,1.0,0.0
34.0,180.0,71.0,45.0,Rectangle,0.0,1.0,0.0
24.1,173.0,67.0,42.0,Inverted Triangle,1.0,0.0,0.0
22.2,170.0,63.0,43.0,Inverted Triangle,1.0,0.0,0.0
24.4,174.0,86.0,43.5,Inverted Triangle,1.0,0.0,0.0
41.0,178.0,87.0,42.0,Rectangle,0.0,1.0,0.0
35.6,173.0,63.0,40.0,Rectangle,0.0,1.0,0.0
38.0,188.0,105.0,46.0,Triangle,0.0,0.0,1.0
18.0,190.0,76.0,45.0,Rectangle,0.0,1.0,0.0
20.0,174.0,65.0,41.5,Inverted Triangle,1.0,0.0,0.0
46.8,172.0,78.0,41.0,Inverted Triangle,1.0,0.0,0.0
21.2,170.0,68.0,42.0,Triangle,0.0,0.0,1.0
