"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
1078.0,1277.0,560.0,1077.0,820.0,630.0,515.0,1019.0,637.0,1217.0,79.17,92.3
1031.0,1063.0,474.0,1144.0,866.0,598.0,479.0,1109.0,602.0,1051.0,67.73,86.02
925.0,1088.0,490.0,1011.0,855.0,591.0,496.0,1003.0,674.0,1068.0,70.0,83.0
930.0,1015.0,503.0,1043.0,747.0,645.0,482.0,953.0,602.0,1012.0,70.0,79.0
760.0,875.0,450.0,938.0,838.0,515.0,456.0,1067.0,647.0,894.0,72.59,96.8
817.0,921.0,438.0,1017.0,864.0,592.0,475.0,1066.0,649.0,957.0,77.64,90.91
844.0,982.0,435.0,1019.0,897.0,615.0,474.0,1075.0,667.0,994.0,66.03,91.85
904.0,991.0,490.0,1026.0,845.0,540.0,488.0,1085.0,664.0,1028.0,68.37,92.77
883.0,1012.0,491.0,1064.0,817.0,647.0,487.0,1062.0,659.0,1030.0,76.0,88.0
912.0,1125.0,520.0,1008.0,818.0,579.0,479.0,1005.0,602.0,1145.0,72.0,86.0
890.0,992.0,496.0,980.0,756.0,570.0,469.0,1013.0,639.0,970.0,64.0,82.0
851.0,991.0,480.0,977.0,867.0,582.0,479.0,1084.0,667.0,1012.0,72.0,82.0
758.0,896.0,463.0,934.0,873.0,519.0,438.0,1109.0,634.0,925.0,66.97,88.25
820.0,950.0,481.0,996.0,734.0,599.0,472.0,930.0,606.0,1022.0,66.0,77.0
1024.0,1053.0,479.0,1039.0,880.0,578.0,430.0,1084.0,672.0,1004.0,70.0,82.0
827.0,920.0,472.0,953.0,834.0,550.0,473.0,1084.0,670.0,981.0,77.0,90.0
858.0,1006.0,464.0,1051.0,794.0,636.0,484.0,993.0,598.0,1021.0,61.95,81.15
901.0,1012.0,476.0,1008.0,820.0,585.0,491.0,1009.0,615.0,1039.0,70.13,89.24
758.0,891.0,464.0,989.0,786.0,595.0,446.0,1025.0,650.0,914.0,73.05,84.55
807.0,919.0,450.0,965.0,758.0,567.0,457.0,987.0,631.0,947.0,66.0,78.0
878.0,984.0,525.0,978.0,866.0,528.0,457.0,1056.0,639.0,1001.0,64.89,93.96
889.0,926.0,465.0,955.0,809.0,551.0,453.0,1021.0,636.0,951.0,74.0,81.0
889.0,985.0,483.0,956.0,806.0,544.0,452.0,1022.0,627.0,976.0,68.0,87.0
824.0,938.0,486.0,992.0,893.0,583.0,470.0,1126.0,622.0,952.0,79.6,97.02
875.0,972.0,475.0,1012.0,877.0,540.0,467.0,1107.0,694.0,993.0,76.86,95.08
1013.0,1145.0,510.0,1135.0,823.0,627.0,492.0,1029.0,613.0,1111.0,69.2,81.39
826.0,890.0,459.0,956.0,822.0,546.0,431.0,1010.0,624.0,895.0,72.61,96.51
830.0,943.0,464.0,996.0,790.0,595.0,450.0,1023.0,637.0,960.0,64.0,84.0
