"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
675.0,887.0,735.0,432.0,937.0,797.0,528.0,395.0,1041.0,590.0,846.0,55.0,57.26,78.15
786.0,955.0,831.0,427.0,964.0,844.0,538.0,440.0,1122.0,595.0,921.0,67.8,80.45,94.87
889.0,1042.0,889.0,456.0,1169.0,756.0,692.0,478.0,1024.0,576.0,1024.0,86.5,57.54,78.54
807.0,910.0,730.0,445.0,943.0,762.0,516.0,409.0,975.0,570.0,834.0,53.7,64.0,71.0
891.0,989.0,863.0,423.0,1043.0,833.0,612.0,421.0,989.0,582.0,930.0,73.3,64.18,87.79
731.0,823.0,677.0,402.0,907.0,825.0,449.0,397.0,1015.0,612.0,802.0,48.7,56.54,69.61
773.0,820.0,710.0,413.0,900.0,799.0,507.0,413.0,1008.0,610.0,826.0,52.5,67.0,75.0
907.0,1120.0,890.0,406.0,1020.0,809.0,627.0,432.0,1081.0,558.0,1014.0,80.4,72.91,82.29
762.0,887.0,778.0,390.0,982.0,772.0,581.0,388.0,1000.0,562.0,875.0,64.7,71.66,80.01
860.0,1056.0,925.0,455.0,1196.0,763.0,699.0,435.0,1030.0,571.0,1000.0,86.3,60.66,87.25
983.0,1144.0,906.0,480.0,1096.0,756.0,639.0,505.0,1030.0,575.0,1067.0,81.0,67.45,79.0
825.0,924.0,760.0,425.0,991.0,764.0,575.0,432.0,1003.0,583.0,897.0,62.2,59.0,71.0
759.0,845.0,705.0,430.0,980.0,715.0,575.0,384.0,886.0,568.0,800.0,55.3,60.0,70.0
851.0,1042.0,853.0,441.0,1102.0,706.0,659.0,453.0,945.0,567.0,933.0,70.8,61.88,81.87
757.0,905.0,802.0,440.0,980.0,837.0,592.0,449.0,1062.0,613.0,899.0,66.4,76.28,84.3
666.0,846.0,772.0,435.0,960.0,715.0,570.0,416.0,980.0,583.0,851.0,54.5,68.0,78.0
669.0,764.0,655.0,435.0,892.0,743.0,505.0,388.0,932.0,555.0,744.0,47.0,62.0,78.0
733.0,866.0,711.0,425.0,960.0,760.0,540.0,425.0,983.0,564.0,867.0,56.3,60.0,73.0
877.0,1060.0,907.0,460.0,1158.0,810.0,686.0,440.0,1053.0,600.0,1005.0,87.9,71.31,89.8
708.0,824.0,711.0,405.0,917.0,772.0,531.0,389.0,969.0,605.0,811.0,50.1,58.0,73.0
645.0,795.0,704.0,390.0,954.0,700.0,542.0,375.0,950.0,539.0,801.0,49.7,61.0,62.0
973.0,1044.0,845.0,445.0,1177.0,805.0,705.0,416.0,1002.0,598.0,983.0,81.8,63.56,78.11
930.0,1052.0,932.0,469.0,1106.0,768.0,634.0,441.0,1007.0,573.0,994.0,79.3,63.49,72.31
790.0,935.0,830.0,420.0,1130.0,760.0,662.0,450.0,1032.0,555.0,905.0,73.2,66.0,83.0
914.0,989.0,847.0,443.0,1000.0,777.0,576.0,419.0,955.0,566.0,920.0,68.3,63.49,63.9
730.0,900.0,724.0,435.0,1105.0,791.0,627.0,443.0,1043.0,588.0,888.0,69.4,66.03,80.94
747.0,940.0,785.0,423.0,920.0,680.0,515.0,413.0,920.0,544.0,848.0,51.8,61.0,74.0
872.0,882.0,800.0,430.0,960.0,670.0,545.0,390.0,916.0,555.0,847.0,55.5,60.0,66.0
891.0,1068.0,893.0,422.0,1190.0,715.0,677.0,461.0,953.0,552.0,995.0,78.0,63.47,63.58
696.0,839.0,732.0,399.0,855.0,825.0,461.0,388.0,1042.0,601.0,831.0,49.0,63.75,77.21
983.0,1161.0,959.0,424.0,1053.0,715.0,638.0,423.0,928.0,562.0,1041.0,75.7,54.04,85.7
926.0,1094.0,891.0,487.0,1177.0,808.0,666.0,485.0,1078.0,624.0,1040.0,91.9,66.48,88.42
833.0,999.0,823.0,420.0,1122.0,818.0,664.0,428.0,1056.0,570.0,930.0,74.9,71.63,68.74
821.0,962.0,866.0,420.0,955.0,779.0,523.0,410.0,1017.0,555.0,935.0,59.9,69.39,83.78
840.0,1014.0,850.0,440.0,1121.0,853.0,647.0,440.0,1095.0,634.0,960.0,79.9,69.34,94.04
922.0,963.0,855.0,488.0,1099.0,818.0,645.0,464.0,1009.0,601.0,927.0,73.0,63.37,79.12
740.0,825.0,700.0,402.0,1000.0,778.0,524.0,410.0,1017.0,629.0,813.0,57.6,67.0,82.0
686.0,932.0,812.0,424.0,984.0,752.0,584.0,412.0,1008.0,545.0,901.0,60.7,71.78,77.33
805.0,1000.0,797.0,435.0,940.0,650.0,515.0,426.0,917.0,548.0,910.0,56.2,63.0,66.0
804.0,1034.0,832.0,454.0,1100.0,806.0,657.0,471.0,1098.0,600.0,970.0,78.4,62.77,71.96
745.0,907.0,752.0,410.0,986.0,735.0,534.0,376.0,929.0,552.0,834.0,59.3,66.0,77.0
683.0,882.0,735.0,407.0,930.0,769.0,515.0,408.0,1023.0,564.0,862.0,55.0,59.86,79.23
628.0,819.0,696.0,398.0,958.0,718.0,501.0,384.0,953.0,527.0,795.0,47.4,63.03,78.7
1021.0,1105.0,917.0,464.0,1170.0,760.0,667.0,424.0,1026.0,555.0,1045.0,86.8,73.67,74.17
673.0,840.0,675.0,379.0,976.0,780.0,551.0,391.0,987.0,583.0,781.0,49.2,64.0,75.0
572.0,746.0,650.0,410.0,828.0,698.0,459.0,372.0,896.0,542.0,747.0,37.9,52.0,63.0
736.0,832.0,748.0,454.0,1016.0,784.0,572.0,394.0,1038.0,585.0,802.0,57.4,53.0,88.49
899.0,1032.0,863.0,432.0,1033.0,848.0,579.0,431.0,1120.0,621.0,984.0,75.4,65.2,78.36
1171.0,1394.0,1119.0,448.0,1454.0,768.0,750.0,559.0,1063.0,570.0,1199.0,115.6,69.77,63.05
1220.0,1367.0,1170.0,489.0,1184.0,839.0,670.0,474.0,1071.0,618.0,1163.0,113.9,69.16,80.97
671.0,844.0,711.0,426.0,1034.0,708.0,578.0,389.0,950.0,540.0,825.0,55.3,54.93,67.75
739.0,912.0,768.0,450.0,1102.0,822.0,624.0,406.0,1072.0,619.0,878.0,67.8,61.18,89.82
720.0,841.0,749.0,405.0,930.0,862.0,523.0,423.0,1062.0,591.0,854.0,54.1,68.87,78.36
690.0,865.0,724.0,416.0,956.0,810.0,526.0,389.0,1044.0,608.0,860.0,56.8,66.14,69.65
820.0,1033.0,841.0,429.0,1125.0,762.0,690.0,479.0,1022.0,584.0,991.0,76.4,55.55,73.33
775.0,905.0,766.0,410.0,990.0,786.0,590.0,425.0,1018.0,623.0,880.0,63.3,60.0,68.0
824.0,975.0,825.0,443.0,1010.0,764.0,560.0,457.0,1051.0,590.0,957.0,66.0,70.0,78.0
