Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Hourglass,Inverted Triangle,Rectangle,Triangle,Weight (kg)
29.0,173.0,68.0,41.0,Rectangle,0.0,0.0,1.0,0.0,73.1
40.0,173.0,94.0,40.0,Rectangle,0.0,0.0,1.0,0.0,96.2
22.0,160.0,57.0,36.0,Hourglass,1.0,0.0,0.0,0.0,59.8
28.0,170.0,58.0,38.0,Rectangle,0.0,0.0,1.0,0.0,59.4
21.0,179.5,82.0,40.0,Triangle,0.0,0.0,0.0,1.0,80.0
27.8,180.0,64.0,41.0,Triangle,0.0,0.0,0.0,1.0,63.6
49.0,157.0,63.0,37.0,Rectangle,0.0,0.0,1.0,0.0,64.8
25.0,164.0,74.0,38.0,Hourglass,1.0,0.0,0.0,0.0,71.7
37.0,178.0,70.0,41.0,Rectangle,0.0,0.0,1.0,0.0,72.1
18.1,170.0,55.0,40.0,Triangle,0.0,0.0,0.0,1.0,56.0
20.2,158.0,58.0,38.0,Hourglass,1.0,0.0,0.0,0.0,57.7
35.0,168.0,68.0,40.0,Hourglass,1.0,0.0,0.0,0.0,70.7
27.8,170.0,65.0,38.0,Rectangle,0.0,0.0,1.0,0.0,65.5
26.0,168.0,70.0,39.0,Hourglass,1.0,0.0,0.0,0.0,73.9
56.2,152.0,47.0,35.5,Rectangle,0.0,0.0,1.0,0.0,46.7
29.4,175.0,68.0,40.0,Hourglass,1.0,0.0,0.0,0.0,69.1
26.0,160.0,55.0,38.0,Hourglass,1.0,0.0,0.0,0.0,54.5
54.0,162.0,58.5,37.5,Triangle,0.0,0.0,0.0,1.0,58.6
31.0,172.0,65.0,41.0,Rectangle,0.0,0.0,1.0,0.0,81.2
25.1,170.0,56.0,39.5,Rectangle,0.0,0.0,1.0,0.0,55.9
41.1,157.0,52.0,36.0,Hourglass,1.0,0.0,0.0,0.0,54.3
53.0,165.0,74.0,40.0,Rectangle,0.0,0.0,1.0,0.0,72.4
65.0,178.0,91.0,40.0,Rectangle,0.0,0.0,1.0,0.0,92.1
21.0,175.0,78.0,39.0,Hourglass,1.0,0.0,0.0,0.0,78.4
21.7,157.0,43.0,36.5,Rectangle,0.0,0.0,1.0,0.0,43.3
53.1,160.0,55.0,36.5,Rectangle,0.0,0.0,1.0,0.0,56.2
40.4,168.0,52.0,38.0,Rectangle,0.0,0.0,1.0,0.0,52.2
58.0,164.0,107.0,40.0,Rectangle,0.0,0.0,1.0,0.0,107.6
18.7,177.0,70.0,38.0,Rectangle,0.0,0.0,1.0,0.0,71.0
33.4,165.0,52.0,37.0,Hourglass,1.0,0.0,0.0,0.0,53.1
21.8,162.0,48.0,38.0,Triangle,0.0,0.0,0.0,1.0,49.5
48.1,162.0,52.0,38.0,Rectangle,0.0,0.0,1.0,0.0,50.0
50.0,173.0,63.0,40.0,Hourglass,1.0,0.0,0.0,0.0,63.5
47.0,163.0,59.0,37.0,Hourglass,1.0,0.0,0.0,0.0,58.8
54.4,153.0,65.0,37.5,Rectangle,0.0,0.0,1.0,0.0,63.9
51.0,155.0,81.0,38.0,Rectangle,0.0,0.0,1.0,0.0,82.0
30.2,160.0,53.0,37.0,Hourglass,1.0,0.0,0.0,0.0,53.5
35.1,162.0,50.0,36.0,Rectangle,0.0,0.0,1.0,0.0,48.8
24.0,167.0,60.0,37.0,Hourglass,1.0,0.0,0.0,0.0,60.9
50.0,160.0,94.0,39.0,Rectangle,0.0,0.0,1.0,0.0,90.9
56.5,160.0,55.0,37.5,Rectangle,0.0,0.0,1.0,0.0,64.5
54.0,172.0,75.4,39.0,Rectangle,0.0,0.0,1.0,0.0,77.7
34.0,171.0,58.0,41.0,Hourglass,1.0,0.0,0.0,0.0,58.4
19.2,170.0,63.0,37.5,Triangle,0.0,0.0,0.0,1.0,65.7
61.0,154.0,60.0,37.0,Rectangle,0.0,0.0,1.0,0.0,64.9
20.1,160.0,52.0,37.0,Rectangle,0.0,0.0,1.0,0.0,48.8
19.8,172.0,75.0,39.0,Hourglass,1.0,0.0,0.0,0.0,79.8
26.0,177.0,95.0,41.0,Rectangle,0.0,0.0,1.0,0.0,97.1
40.7,166.0,90.0,39.5,Triangle,0.0,0.0,0.0,1.0,91.8
35.2,150.0,42.0,36.5,Triangle,0.0,0.0,0.0,1.0,42.9
40.2,160.0,58.0,36.0,Hourglass,1.0,0.0,0.0,0.0,57.3
47.0,164.0,67.0,39.0,Hourglass,1.0,0.0,0.0,0.0,69.9
23.0,168.0,48.0,38.5,Hourglass,1.0,0.0,0.0,0.0,50.5
19.2,172.0,60.0,39.0,Triangle,0.0,0.0,0.0,1.0,63.1
37.0,169.0,70.0,40.0,Hourglass,1.0,0.0,0.0,0.0,74.0
24.0,175.0,65.8,39.0,Hourglass,1.0,0.0,0.0,0.0,66.0
40.0,173.0,90.0,41.0,Rectangle,0.0,0.0,1.0,0.0,88.5
20.0,176.0,80.0,40.0,Rectangle,0.0,0.0,1.0,0.0,79.6
19.1,155.0,46.0,36.5,Rectangle,0.0,0.0,1.0,0.0,46.1
55.8,157.0,57.0,37.0,Rectangle,0.0,0.0,1.0,0.0,57.3
