"Waist Circumference, Pref (mm)",Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
770.0,875.0,740.0,458.0,976.0,772.0,560.0,400.0,970.0,622.0,845.0,59.0,73.0
1065.0,1200.0,1016.0,460.0,1235.0,763.0,751.0,475.0,988.0,520.0,1070.0,72.98,85.71
738.0,896.0,744.0,427.0,961.0,777.0,536.0,423.0,992.0,595.0,874.0,58.0,78.0
772.0,975.0,809.0,452.0,1036.0,710.0,595.0,413.0,967.0,546.0,909.0,54.35,75.7
849.0,996.0,817.0,446.0,984.0,820.0,533.0,435.0,1060.0,633.0,946.0,78.24,92.1
709.0,798.0,727.0,424.0,969.0,808.0,540.0,367.0,1015.0,593.0,791.0,62.0,72.0
980.0,1148.0,951.0,466.0,1050.0,766.0,537.0,431.0,982.0,567.0,1038.0,66.28,78.81
804.0,1034.0,832.0,454.0,1100.0,806.0,657.0,471.0,1098.0,600.0,970.0,62.77,71.96
714.0,900.0,768.0,433.0,1007.0,816.0,584.0,421.0,1069.0,570.0,886.0,65.12,85.92
662.0,824.0,699.0,420.0,940.0,745.0,536.0,382.0,1015.0,598.0,810.0,57.0,69.0
1022.0,1141.0,945.0,481.0,1072.0,755.0,581.0,434.0,998.0,574.0,1034.0,64.38,84.45
772.0,905.0,732.0,428.0,985.0,793.0,545.0,404.0,996.0,574.0,848.0,62.0,76.0
773.0,1008.0,880.0,412.0,1051.0,826.0,589.0,407.0,1065.0,609.0,941.0,62.85,75.69
748.0,950.0,863.0,450.0,1025.0,754.0,600.0,428.0,1012.0,527.0,935.0,63.97,87.69
750.0,937.0,775.0,463.0,972.0,804.0,545.0,422.0,1046.0,573.0,902.0,63.52,80.17
825.0,924.0,760.0,425.0,991.0,764.0,575.0,432.0,1003.0,583.0,897.0,59.0,71.0
745.0,895.0,826.0,449.0,1088.0,806.0,619.0,413.0,1058.0,594.0,874.0,67.17,83.2
693.0,911.0,697.0,436.0,932.0,722.0,503.0,381.0,964.0,546.0,831.0,62.0,64.0
707.0,831.0,699.0,430.0,931.0,788.0,515.0,362.0,988.0,583.0,785.0,64.0,71.0
650.0,888.0,725.0,422.0,928.0,726.0,504.0,382.0,954.0,579.0,853.0,64.79,76.9
758.0,912.0,765.0,430.0,1055.0,832.0,610.0,432.0,1064.0,627.0,890.0,64.0,72.0
770.0,866.0,762.0,408.0,1040.0,851.0,595.0,412.0,1046.0,608.0,857.0,65.92,76.36
730.0,849.0,745.0,439.0,940.0,780.0,540.0,408.0,967.0,611.0,828.0,60.0,74.0
983.0,1062.0,883.0,469.0,1063.0,827.0,617.0,482.0,1079.0,626.0,1020.0,67.19,87.55
698.0,854.0,723.0,418.0,1004.0,743.0,587.0,418.0,987.0,578.0,835.0,62.0,72.0
753.0,891.0,805.0,414.0,1011.0,781.0,565.0,393.0,1023.0,570.0,851.0,71.61,87.78
773.0,979.0,785.0,430.0,998.0,817.0,573.0,420.0,1081.0,635.0,956.0,62.0,68.0
644.0,773.0,662.0,393.0,918.0,723.0,508.0,382.0,954.0,557.0,781.0,54.07,69.61
737.0,894.0,739.0,410.0,930.0,750.0,510.0,430.0,964.0,587.0,886.0,55.0,73.0
958.0,1019.0,840.0,452.0,1171.0,760.0,693.0,461.0,1000.0,577.0,967.0,64.49,67.33
777.0,916.0,778.0,438.0,1077.0,845.0,640.0,434.0,1081.0,602.0,911.0,68.0,84.96
737.0,925.0,783.0,433.0,1038.0,759.0,594.0,427.0,1010.0,569.0,904.0,70.17,82.12
781.0,971.0,794.0,469.0,1026.0,764.0,565.0,410.0,1008.0,585.0,876.0,68.0,83.0
853.0,982.0,780.0,458.0,1046.0,725.0,624.0,413.0,955.0,549.0,905.0,68.0,80.0
1048.0,1235.0,1035.0,482.0,1208.0,680.0,630.0,494.0,941.0,582.0,1137.0,62.0,66.0
993.0,1051.0,855.0,435.0,1098.0,774.0,656.0,470.0,1011.0,594.0,1016.0,67.29,81.94
880.0,1052.0,855.0,443.0,1061.0,788.0,627.0,449.0,1043.0,619.0,995.0,60.65,83.05
677.0,816.0,683.0,417.0,936.0,747.0,534.0,391.0,970.0,594.0,785.0,67.0,80.0
833.0,889.0,787.0,475.0,1016.0,861.0,578.0,409.0,1089.0,620.0,874.0,64.15,82.23
685.0,830.0,710.0,406.0,905.0,731.0,525.0,400.0,969.0,572.0,817.0,59.0,75.0
885.0,987.0,796.0,463.0,1177.0,747.0,707.0,460.0,982.0,570.0,910.0,60.0,78.0
1278.0,1373.0,1112.0,500.0,1206.0,832.0,635.0,505.0,1046.0,632.0,1157.0,65.46,83.37
1389.0,1435.0,1226.0,489.0,1411.0,736.0,787.0,492.0,1007.0,577.0,1228.0,59.2,67.29
1073.0,1135.0,1007.0,473.0,1110.0,792.0,636.0,474.0,1031.0,588.0,1046.0,55.11,72.18
681.0,831.0,690.0,410.0,865.0,697.0,522.0,381.0,924.0,538.0,794.0,62.0,70.0
835.0,927.0,813.0,446.0,1053.0,808.0,603.0,405.0,1062.0,613.0,901.0,67.13,75.56
795.0,983.0,790.0,412.0,960.0,726.0,500.0,430.0,954.0,579.0,922.0,62.0,73.0
835.0,935.0,809.0,438.0,1053.0,791.0,605.0,417.0,1025.0,594.0,923.0,65.91,82.63
717.0,846.0,689.0,450.0,905.0,765.0,476.0,384.0,944.0,580.0,821.0,60.0,74.0
687.0,782.0,657.0,416.0,900.0,704.0,506.0,350.0,878.0,550.0,740.0,54.0,64.0
872.0,882.0,800.0,430.0,960.0,670.0,545.0,390.0,916.0,555.0,847.0,60.0,66.0
805.0,859.0,763.0,378.0,950.0,687.0,556.0,403.0,895.0,568.0,825.0,56.0,69.0
884.0,1048.0,882.0,446.0,1150.0,784.0,613.0,439.0,1038.0,599.0,1101.0,63.87,82.14
762.0,830.0,712.0,430.0,971.0,775.0,573.0,410.0,1000.0,581.0,800.0,68.0,72.0
740.0,825.0,700.0,402.0,1000.0,778.0,524.0,410.0,1017.0,629.0,813.0,67.0,82.0
761.0,923.0,794.0,447.0,952.0,741.0,543.0,425.0,986.0,570.0,885.0,70.0,79.0
884.0,1072.0,861.0,402.0,1091.0,757.0,664.0,449.0,987.0,572.0,982.0,63.98,79.38
829.0,916.0,744.0,420.0,1029.0,771.0,610.0,407.0,981.0,575.0,869.0,56.0,75.0
694.0,861.0,742.0,447.0,941.0,749.0,545.0,434.0,966.0,596.0,884.0,64.0,77.0
730.0,775.0,660.0,422.0,985.0,741.0,578.0,370.0,950.0,585.0,760.0,52.0,63.0
929.0,1067.0,860.0,468.0,1150.0,777.0,678.0,469.0,1039.0,545.0,990.0,65.52,74.77
774.0,917.0,745.0,421.0,968.0,764.0,560.0,410.0,962.0,595.0,879.0,68.0,76.0
702.0,858.0,738.0,419.0,937.0,724.0,540.0,393.0,934.0,535.0,825.0,60.0,75.0
720.0,828.0,761.0,400.0,927.0,802.0,515.0,391.0,999.0,502.0,795.0,62.74,68.84
805.0,942.0,804.0,454.0,1017.0,866.0,570.0,443.0,1020.0,615.0,919.0,71.68,77.5
679.0,845.0,725.0,445.0,965.0,815.0,570.0,383.0,1058.0,591.0,825.0,67.3,65.71
695.0,826.0,690.0,396.0,1017.0,814.0,576.0,389.0,1045.0,596.0,796.0,67.69,71.13
787.0,883.0,800.0,434.0,945.0,756.0,504.0,412.0,988.0,585.0,878.0,55.96,77.55
911.0,894.0,762.0,413.0,969.0,868.0,516.0,407.0,994.0,619.0,862.0,68.96,79.39
702.0,821.0,731.0,441.0,925.0,790.0,500.0,420.0,999.0,620.0,845.0,70.0,76.0
708.0,885.0,800.0,425.0,1016.0,782.0,585.0,382.0,1038.0,596.0,864.0,70.01,84.13
789.0,882.0,814.0,418.0,980.0,781.0,552.0,420.0,1028.0,578.0,872.0,61.05,81.62
745.0,907.0,752.0,410.0,986.0,735.0,534.0,376.0,929.0,552.0,834.0,66.0,77.0
730.0,928.0,826.0,420.0,988.0,810.0,539.0,423.0,1039.0,605.0,892.0,62.48,83.17
1117.0,1318.0,1046.0,521.0,1220.0,814.0,647.0,500.0,1056.0,655.0,1209.0,66.79,79.97
920.0,1056.0,886.0,456.0,1065.0,746.0,660.0,418.0,1000.0,540.0,921.0,69.51,67.51
982.0,1139.0,981.0,434.0,1220.0,791.0,762.0,490.0,1011.0,596.0,1040.0,75.33,83.79
1153.0,1250.0,1035.0,480.0,1277.0,766.0,670.0,429.0,1015.0,534.0,1082.0,73.17,74.73
711.0,934.0,788.0,432.0,1072.0,828.0,595.0,430.0,1104.0,595.0,908.0,62.0,80.49
804.0,1055.0,816.0,440.0,1132.0,685.0,693.0,444.0,946.0,559.0,940.0,61.0,74.0
784.0,875.0,762.0,392.0,1061.0,723.0,630.0,394.0,951.0,510.0,821.0,77.53,93.39
708.0,895.0,765.0,415.0,934.0,738.0,545.0,388.0,993.0,542.0,815.0,64.0,73.0
