"Waist Circumference, Pref (mm)",Chest Circumference (mm),Neck Base Circumference (mm),"Hip Circumference, Maximum (mm)",Crotch Height (mm),Thigh Circumference (mm),Shoulder Breadth (mm),"Waist Height, Preferred (mm)",Arm Length (Shoulder to Wrist) (mm),Chest Girth (Chest Circumference at Scye) (mm),Weight (kg),"Ankle Ht Rt (Malleolus, Lateral) (mm)",Malleolus Med Rt (mm)
951.0,996.0,510.0,1019.0,808.0,570.0,463.0,1050.0,637.0,984.0,79.5,64.02,84.17
757.0,914.0,464.0,951.0,841.0,533.0,483.0,1075.0,639.0,966.0,64.4,69.4,86.03
944.0,1120.0,495.0,1030.0,721.0,579.0,500.0,954.0,636.0,1114.0,83.9,67.0,78.0
1031.0,1063.0,474.0,1144.0,866.0,598.0,479.0,1109.0,602.0,1051.0,95.6,67.73,86.02
819.0,979.0,517.0,1007.0,892.0,592.0,471.0,1141.0,672.0,1003.0,78.0,71.27,83.81
905.0,1060.0,506.0,990.0,914.0,563.0,473.0,1122.0,642.0,1060.0,80.2,85.42,99.48
781.0,907.0,466.0,926.0,848.0,532.0,456.0,1052.0,619.0,939.0,61.5,70.45,76.09
961.0,1117.0,490.0,1003.0,797.0,580.0,466.0,950.0,634.0,1078.0,88.3,76.0,77.0
806.0,900.0,442.0,933.0,700.0,553.0,426.0,924.0,586.0,914.0,58.7,73.0,80.0
855.0,920.0,467.0,1016.0,803.0,605.0,436.0,990.0,641.0,928.0,71.9,57.0,71.0
849.0,946.0,497.0,1051.0,977.0,570.0,496.0,1205.0,691.0,1012.0,87.4,81.5,111.71
850.0,980.0,469.0,987.0,674.0,556.0,471.0,902.0,558.0,1040.0,70.1,60.32,84.9
988.0,996.0,503.0,1029.0,870.0,565.0,470.0,1130.0,670.0,985.0,82.6,73.91,92.33
742.0,855.0,462.0,942.0,779.0,544.0,425.0,964.0,615.0,890.0,61.1,68.0,78.0
970.0,1021.0,495.0,1090.0,824.0,644.0,458.0,1057.0,641.0,1008.0,87.6,68.76,87.7
855.0,940.0,492.0,1033.0,826.0,575.0,450.0,1077.0,642.0,943.0,75.0,64.6,101.04
932.0,1112.0,508.0,1057.0,925.0,609.0,489.0,1168.0,688.0,1073.0,93.8,74.66,93.12
937.0,1077.0,496.0,1071.0,768.0,592.0,489.0,1040.0,601.0,1080.0,90.1,65.68,85.91
1158.0,1157.0,554.0,1086.0,706.0,672.0,522.0,921.0,561.0,1148.0,101.8,69.32,83.2
870.0,869.0,409.0,991.0,831.0,517.0,411.0,1029.0,601.0,892.0,67.0,77.38,99.55
862.0,911.0,490.0,1008.0,780.0,583.0,460.0,988.0,626.0,944.0,70.0,66.0,80.0
782.0,898.0,465.0,941.0,770.0,555.0,429.0,999.0,645.0,910.0,64.1,72.0,76.0
801.0,899.0,461.0,930.0,737.0,530.0,422.0,954.0,606.0,894.0,62.1,66.0,82.0
724.0,796.0,449.0,931.0,896.0,532.0,428.0,1147.0,646.0,861.0,61.4,68.98,93.62
708.0,804.0,437.0,839.0,736.0,477.0,398.0,976.0,582.0,859.0,50.8,66.0,75.0
916.0,1055.0,496.0,1042.0,806.0,572.0,476.0,1034.0,608.0,1054.0,82.9,79.76,87.7
1035.0,1107.0,474.0,1040.0,945.0,563.0,474.0,1191.0,730.0,1071.0,99.6,80.19,86.81
820.0,950.0,481.0,996.0,734.0,599.0,472.0,930.0,606.0,1022.0,72.1,66.0,77.0
835.0,920.0,440.0,971.0,792.0,575.0,447.0,995.0,628.0,936.0,70.1,64.0,74.0
771.0,860.0,457.0,961.0,854.0,549.0,451.0,1097.0,648.0,897.0,68.7,80.0,84.0
977.0,1037.0,511.0,1109.0,944.0,658.0,467.0,1163.0,703.0,1054.0,93.6,88.38,85.3
886.0,983.0,492.0,966.0,856.0,571.0,473.0,1067.0,645.0,1004.0,82.7,70.71,93.46
826.0,965.0,490.0,930.0,794.0,556.0,427.0,995.0,620.0,967.0,71.5,68.0,85.0
1046.0,1058.0,518.0,1062.0,791.0,617.0,488.0,1029.0,627.0,1085.0,90.3,68.0,86.0
812.0,912.0,462.0,945.0,866.0,511.0,467.0,1089.0,645.0,860.0,69.6,80.0,95.0
928.0,1042.0,511.0,1021.0,847.0,568.0,492.0,1058.0,680.0,1041.0,81.0,76.7,85.54
857.0,1036.0,487.0,996.0,804.0,590.0,491.0,987.0,624.0,1060.0,76.0,66.0,77.0
955.0,1061.0,508.0,1062.0,777.0,582.0,496.0,1045.0,631.0,1056.0,88.8,68.15,89.62
908.0,1044.0,529.0,1000.0,837.0,564.0,452.0,1017.0,640.0,1025.0,79.5,75.95,91.91
746.0,795.0,441.0,821.0,777.0,479.0,415.0,925.0,567.0,825.0,53.6,54.66,69.17
988.0,1064.0,458.0,1032.0,704.0,588.0,461.0,944.0,586.0,1040.0,80.6,72.0,83.0
952.0,1041.0,514.0,1123.0,831.0,689.0,488.0,1073.0,664.0,1074.0,91.9,75.33,82.24
742.0,877.0,445.0,900.0,752.0,533.0,421.0,950.0,582.0,925.0,57.7,60.0,66.0
1078.0,1277.0,560.0,1077.0,820.0,630.0,515.0,1019.0,637.0,1217.0,122.1,79.17,92.3
